500 3
 -65      -65      -65     
 -65.2    -65.2    -65.2   
 -65.5    -65.5    -65.5   
 -65.8    -65.8    -65.8   
 -66.2    -66.2    -66.2   
 -66.6    -66.6    -66.6   
 -66.9    -66.9    -66.9   
 -67.3    -67.3    -67.3   
 -67.6    -67.6    -67.6   
 -67.8    -67.8    -67.8   
 -68.1    -68.1    -68.1   
 -68.2    -68.2    -68.2   
 -68.4    -68.4    -68.4   
 -68.5    -68.5    -68.5   
 -68.6    -68.6    -68.6   
 -68.6    -68.6    -68.6   
 -68.6    -68.6    -68.6   
 -68.6    -68.6    -68.6   
 -68.5    -68.5    -68.5   
 -68.5    -68.5    -68.5   
 -68.4    -68.4    -68.4   
 -68.3    -68.3    -68.3   
 -68.2    -68.2    -68.2   
 -68      -68      -68     
 -67.9    -67.9    -67.9   
 -67.8    -67.8    -67.8   
 -67.6    -67.6    -67.6   
 -67.5    -67.5    -67.5   
 -67.3    -67.3    -67.3   
 -67.1    -67.1    -67.1   
 -66.9    -66.9    -66.9   
 -66.8    -66.8    -66.8   
 -66.6    -66.6    -66.6   
 -66.4    -66.4    -66.4   
 -66.2    -66.2    -66.2   
 -66      -66      -66     
 -65.8    -65.8    -65.8   
 -65.6    -65.6    -65.6   
 -65.3    -65.3    -65.3   
 -65.1    -65.1    -65.1   
 -64.9    -64.9    -64.9   
 -64.6    -64.6    -64.6   
 -64.3    -64.3    -64.3   
 -64      -64      -64     
 -63.6    -63.6    -63.6   
 -63.2    -63.2    -63.2   
 -62.7    -62.7    -62.7   
 -61.9    -61.9    -61.9   
 -60.8    -60.8    -60.8   
 -58.9    -58.9    -58.9   
 -54.5    -54.5    -54.5   
 -38.8    -38.8    -38.8   
 26.3     26.3     26.3    
 33.4     33.4     33.4    
 0.763    0.763    0.763   
 -28.2    -28.2    -28.2   
 -48.1    -48.1    -48.1   
 -67.6    -67.6    -67.6   
 -75.3    -75.3    -75.3   
 -76.5    -76.5    -76.5   
 -76.6    -76.6    -76.6   
 -76.6    -76.6    -76.6   
 -76.5    -76.5    -76.5   
 -76.3    -76.3    -76.3   
 -76.1    -76.1    -76.1   
 -75.9    -75.9    -75.9   
 -75.6    -75.6    -75.6   
 -75.3    -75.3    -75.3   
 -75      -75      -75     
 -74.7    -74.7    -74.7   
 -74.4    -74.4    -74.4   
 -74      -74      -74     
 -73.6    -73.6    -73.6   
 -73.3    -73.3    -73.3   
 -72.9    -72.9    -72.9   
 -72.5    -72.5    -72.5   
 -72.1    -72.1    -72.1   
 -71.7    -71.7    -71.7   
 -71.3    -71.3    -71.3   
 -70.9    -70.9    -70.9   
 -70.6    -70.6    -70.6   
 -70.2    -70.2    -70.2   
 -69.8    -69.8    -69.8   
 -69.4    -69.4    -69.4   
 -69      -69      -69     
 -68.6    -68.6    -68.6   
 -68.2    -68.2    -68.2   
 -67.7    -67.7    -67.7   
 -67.3    -67.3    -67.3   
 -66.8    -66.8    -66.8   
 -66.3    -66.3    -66.3   
 -65.8    -65.8    -65.8   
 -65.2    -65.2    -65.2   
 -64.4    -64.4    -64.4   
 -63.5    -63.5    -63.5   
 -62.3    -62.3    -62.3   
 -60.2    -60.2    -60.2   
 -56.2    -56.2    -56.2   
 -42.8    -42.8    -42.8   
 20.6     20.6     20.6    
 38.2     38.2     38.2    
 8.23     8.23     8.24    
 -22.2    -22.2    -22.2   
 -43.6    -43.6    -43.6   
 -63.1    -63.1    -63.1   
 -74.7    -74.7    -74.6   
 -76.4    -76.4    -76.4   
 -76.7    -76.6    -76.6   
 -76.6    -76.6    -76.6   
 -76.6    -76.5    -76.5   
 -76.4    -76.4    -76.3   
 -76.2    -76.2    -76.1   
 -76      -76      -75.9   
 -75.8    -75.7    -75.6   
 -75.6    -75.4    -75.3   
 -75.3    -75.1    -74.9   
 -75      -74.8    -74.6   
 -74.7    -74.4    -74.2   
 -74.3    -74.1    -73.8   
 -74      -73.7    -73.4   
 -73.7    -73.4    -73     
 -73.3    -73      -72.6   
 -73      -72.6    -72.2   
 -72.6    -72.2    -71.8   
 -72.3    -71.8    -71.4   
 -71.9    -71.4    -71     
 -71.6    -71.1    -70.5   
 -71.2    -70.7    -70.1   
 -70.9    -70.3    -69.7   
 -70.5    -69.9    -69.2   
 -70.2    -69.5    -68.8   
 -69.8    -69.1    -68.4   
 -69.4    -68.7    -67.9   
 -69.1    -68.3    -67.4   
 -68.7    -67.8    -66.9   
 -68.4    -67.4    -66.3   
 -68      -66.9    -65.7   
 -67.6    -66.5    -65     
 -67.2    -65.9    -64.2   
 -66.8    -65.3    -63.1   
 -66.4    -64.6    -61.5   
 -65.9    -63.8    -58.8   
 -65.4    -62.6    -52.1   
 -64.8    -60.9    -22     
 -64.2    -57.6    41.5    
 -63.3    -48.5    25.1    
 -62.1    -2.46    -8.54   
 -60.1    41.8     -34.6   
 -56      16.2     -53.6   
 -42.3    -16.5    -71.6   
 21.5     -39.8    -75.9   
 37.7     -59      -76.5   
 7.4      -73.8    -76.6   
 -22.9    -76.2    -76.5   
 -44.1    -76.6    -76.4   
 -63.7    -76.6    -76.2   
 -74.8    -76.5    -76     
 -76.4    -76.4    -75.7   
 -76.7    -76.2    -75.4   
 -76.6    -76      -75.1   
 -76.6    -75.7    -74.8   
 -76.4    -75.5    -74.4   
 -76.2    -75.2    -74     
 -76      -74.8    -73.6   
 -75.8    -74.5    -73.2   
 -75.6    -74.2    -72.8   
 -75.3    -73.8    -72.4   
 -75      -73.4    -72     
 -74.7    -73      -71.6   
 -74.3    -72.7    -71.1   
 -74      -72.3    -70.7   
 -73.7    -71.9    -70.3   
 -73.3    -71.5    -69.9   
 -73      -71.1    -69.4   
 -72.6    -70.7    -69     
 -72.3    -70.3    -68.6   
 -71.9    -69.9    -68.1   
 -71.6    -69.6    -67.6   
 -71.2    -69.2    -67.1   
 -70.8    -68.8    -66.6   
 -70.5    -68.3    -66     
 -70.1    -67.9    -65.4   
 -69.8    -67.5    -64.6   
 -69.4    -67      -63.6   
 -69.1    -66.5    -62.3   
 -68.7    -66      -60.2   
 -68.4    -65.4    -56     
 -68      -64.8    -41.8   
 -67.6    -63.9    23.7    
 -67.2    -62.9    37.6    
 -66.8    -61.3    7.3     
 -66.4    -58.4    -22.9   
 -65.9    -51.1    -44.1   
 -65.4    -16.8    -63.6   
 -64.8    42       -74.7   
 -64.1    22.2     -76.4   
 -63.2    -11.5    -76.6   
 -62      -36.6    -76.6   
 -60      -55.6    -76.5   
 -55.8    -72.6    -76.3   
 -41.6    -76      -76.1   
 23.6     -76.6    -75.9   
 37.2     -76.6    -75.6   
 6.57     -76.5    -75.3   
 -23.5    -76.4    -74.9   
