9 -62.5 -62.5 125.1 0.106103
10 -62.5 -62.5 125.1 0.106103
11 -62.5 -62.5 187.6 0.106103
12 -7.85398 -125 7.85398 0
13 -125 -7.85398 187.6 0.106103
14 -62.5 -62.5 125.1 0.106103
15 -62.5 -62.5 125.1 0.106103
16 -62.5 -62.5 125.1 0.106103
17 -62.5 -62.5 187.6 0.106103
18 -7.85398 -125 7.85398 0
soma
0.070000,-60.710032,0.106103,0.100000
dend1
0.070000,-60.773694,0.106103,0.100000
dend2
0.070000,-60.773694,0.106103,0.100000
0 0 0 7.85398 0
1 -125 -7.85398 187.6 0.106103
2 -62.5 -62.5 125.1 0.106103
3 -62.5 -62.5 125.1 0.106103
4 -62.5 -62.5 125.1 0.106103
5 -62.5 -62.5 187.6 0.106103
6 -7.85398 -125 23.5619 -1.11616e-13
7 -125 -7.85398 187.6 0.106103
8 -62.5 -62.5 125.1 0.106103
9 -62.5 -62.5 125.1 0.106103
10 -62.5 -62.5 125.1 0.106103
11 -62.5 -62.5 187.6 0.106103
12 -7.85398 -125 7.85398 0
13 -125 -7.85398 187.6 0.106103
14 -62.5 -62.5 125.1 0.106103
15 -62.5 -62.5 125.1 0.106103
16 -62.5 -62.5 125.1 0.106103
17 -62.5 -62.5 187.6 0.106103
18 -7.85398 -125 7.85398 0
soma
0.080000,-59.648999,0.106103,0.100000
dend1
0.080000,-59.712661,0.106103,0.100000
dend2
0.080000,-59.712661,0.106103,0.100000
0 0 0 7.85398 0
1 -125 -7.85398 187.6 0.106103
2 -62.5 -62.5 125.1 0.106103
3 -62.5 -62.5 125.1 0.106103
4 -62.5 -62.5 125.1 0.106103
5 -62.5 -62.5 187.6 0.106103
6 -7.85398 -125 23.5619 -5.31937e-19
7 -125 -7.85398 187.6 0.106103
8 -62.5 -62.5 125.1 0.106103
9 -62.5 -62.5 125.1 0.106103
10 -62.5 -62.5 125.1 0.106103
11 -62.5 -62.5 187.6 0.106103
12 -7.85398 -125 7.85398 0
13 -125 -7.85398 187.6 0.106103
14 -62.5 -62.5 125.1 0.106103
15 -62.5 -62.5 125.1 0.106103
16 -62.5 -62.5 125.1 0.106103
17 -62.5 -62.5 187.6 0.106103
18 -7.85398 -125 7.85398 0
soma
0.090000,-58.587966,0.106103,0.100000
dend1
0.090000,-58.651628,0.106103,0.100000
dend2
0.090000,-58.651628,0.106103,0.100000
0 0 0 7.85398 0
1 -125 -7.85398 187.6 0.106103
2 -62.5 -62.5 125.1 0.106103
3 -62.5 -62.5 125.1 0.106103
4 -62.5 -62.5 125.1 0.106103
5 -62.5 -62.5 187.6 0.106103
6 -7.85398 -125 23.5619 -2.57498e-18
7 -125 -7.85398 187.6 0.106103
8 -62.5 -62.5 125.1 0.106103
9 -62.5 -62.5 125.1 0.106103
10 -62.5 -62.5 125.1 0.106103
11 -62.5 -62.5 187.6 0.106103
12 -7.85398 -125 7.85398 0
13 -125 -7.85398 187.6 0.106103
14 -62.5 -62.5 125.1 0.106103
15 -62.5 -62.5 125.1 0.106103
16 -62.5 -62.5 125.1 0.106103
17 -62.5 -62.5 187.6 0.106103
18 -7.85398 -125 7.85398 0
soma
0.100000,-57.526933,0.106103,0.100000
dend1
0.100000,-57.590595,0.106103,0.100000
dend2
0.100000,-57.590595,0.106103,0.100000
0 0 0 7.85398 0
1 -125 -7.85398 187.6 0.106103
2 -62.5 -62.5 125.1 0.106103
3 -62.5 -62.5 125.1 0.106103
4 -62.5 -62.5 125.1 0.106103
5 -62.5 -62.5 187.6 0.106103
6 -7.85398 -125 23.5619 5.58139e-14
7 -125 -7.85398 187.6 0.106103
8 -62.5 -62.5 125.1 0.106103
